HOME_TEAM_ID,predictions
76ers,1
Magic,1
Hawks,1
Heat,1
Raptors,1
Bucks,1
Pelicans,1
Suns,1
Jazz,1
Clippers,1
Grizzlies,1
Suns,1
Spurs,1
Celtics,1
Grizzlies,1
Cavaliers,1
Heat,1
Hawks,1
Knicks,1
Hornets,1
Timberwolves,1
Warriors,1
Nuggets,1
Pelicans,1
Clippers,1
Kings,1
Bulls,1
Heat,1
Hawks,1
Magic,1
Knicks,1
Cavaliers,1
Spurs,1
Hornets,1
Celtics,1
Pelicans,1
Nuggets,1
Suns,1
Kings,1
Thunder,1
Lakers,1
Bucks,1
Cavaliers,1
Pistons,1
Nets,1
Knicks,1
Timberwolves,1
Mavericks,1
Trail Blazers,1
Heat,1
Warriors,1
Kings,1
Rockets,1
Hornets,1
Wizards,1
Nets,1
Knicks,1
Celtics,1
Pelicans,1
Timberwolves,1
Mavericks,1
Suns,1
Lakers,1
Bulls,1
Hornets,1
Pistons,1
Cavaliers,1
Grizzlies,1
Warriors,1
Trail Blazers,1
Nets,1
Timberwolves,1
Celtics,1
Suns,1
Clippers,1
Mavericks,1
Rockets,1
Cavaliers,1
Knicks,1
Kings,1
Wizards,1
Jazz,1
Nuggets,1
Hawks,1
Bulls,1
Wizards,1
Rockets,1
Pacers,1
Spurs,1
Trail Blazers,1
Warriors,1
Lakers,1
Grizzlies,1
Mavericks,1
Heat,1
Hawks,1
76ers,1
Heat,1
Nets,1
Nuggets,1
Clippers,1
Bucks,1
Pacers,1
Jazz,1
Lakers,1
Raptors,1
Celtics,1
76ers,1
Pelicans,1
Wizards,1
Spurs,1
Jazz,1
Kings,1
Magic,1
Thunder,1
Mavericks,1
Grizzlies,1
Celtics,1
Raptors,1
Nets,1
Clippers,1
Lakers,1
Nuggets,1
Bucks,1
Suns,1
Heat,1
Trail Blazers,1
Rockets,1
76ers,1
Pacers,1
Pelicans,1
Lakers,1
Mavericks,1
Spurs,1
Bucks,1
Wizards,1
Trail Blazers,1
Nets,1
Nuggets,1
Thunder,1
Raptors,1
Pacers,1
Clippers,1
Magic,1
Grizzlies,1
Celtics,1
Nets,1
Rockets,1
Suns,1
Heat,1
Thunder,1
76ers,1
Jazz,1
Pelicans,1
Wizards,1
Trail Blazers,1
Heat,1
Pacers,1
Clippers,1
Kings,1
Bucks,1
Jazz,1
Wizards,1
Celtics,1
Lakers,1
Spurs,1
Magic,1
Mavericks,1
Rockets,1
Kings,1
Nuggets,1
Suns,1
Bucks,1
Raptors,1
Pelicans,1
76ers,1
Nets,1
Grizzlies,1
Spurs,1
Mavericks,1
Heat,1
Pacers,1
Nuggets,1
Trail Blazers,1
